timestamp,temperatura,humedad,pm2_5,co3,punto
2025-06-30 20:30:00,27.09,43.0,15.80,0.106,Punto 2
2025-06-30 20:30:02,22.61,48.9,8.18,0.086,Punto 2
2025-06-30 20:30:04,28.00,53.2,21.01,0.076,Punto 2
2025-06-30 20:30:06,20.91,53.9,43.44,0.054,Punto 2
2025-06-30 20:30:08,22.28,45.9,16.43,0.039,Punto 2
2025-06-30 20:30:10,21.98,40.8,19.65,0.040,Punto 2
2025-06-30 20:30:12,24.97,48.8,30.95,0.023,Punto 2
2025-06-30 20:30:14,25.98,53.3,44.59,0.067,Punto 2
2025-06-30 20:30:16,29.81,49.7,9.56,0.061,Punto 2
2025-06-30 20:30:18,27.61,55.3,26.34,0.047,Punto 2
2025-06-30 20:30:20,22.56,51.5,51.69,0.102,Punto 2
2025-06-30 20:30:22,29.25,40.5,43.94,0.042,Punto 2
2025-06-30 20:30:24,26.03,50.6,6.02,0.025,Punto 2
2025-06-30 20:30:26,24.92,53.8,16.43,0.087,Punto 2
2025-06-30 20:30:28,23.57,40.3,24.69,0.027,Punto 2
2025-06-30 20:30:30,20.16,44.4,36.49,0.100,Punto 2
2025-06-30 20:30:32,23.06,53.6,26.40,0.106,Punto 2
2025-06-30 20:30:34,28.40,48.9,37.45,0.019,Punto 2
2025-06-30 20:30:36,27.84,52.2,28.83,0.022,Punto 2
2025-06-30 20:30:38,26.82,53.8,54.15,0.017,Punto 2
2025-06-30 20:30:40,27.66,59.7,50.51,0.015,Punto 2
2025-06-30 20:30:42,27.36,42.0,47.77,0.023,Punto 2
2025-06-30 20:30:44,27.14,42.8,10.46,0.028,Punto 2
2025-06-30 20:30:46,25.50,58.2,53.63,0.090,Punto 2
2025-06-30 20:30:48,29.66,52.2,25.58,0.041,Punto 2
2025-06-30 20:30:50,25.59,55.4,34.22,0.070,Punto 2
2025-06-30 20:30:52,23.06,55.2,33.57,0.100,Punto 2
2025-06-30 20:30:54,20.17,54.4,46.85,0.071,Punto 2
2025-06-30 20:30:56,27.76,42.9,11.06,0.072,Punto 2
2025-06-30 20:30:58,22.49,55.7,12.70,0.011,Punto 2
2025-06-30 20:31:00,26.87,51.0,15.93,0.089,Punto 2
2025-06-30 20:31:02,23.18,48.1,20.07,0.079,Punto 2
2025-06-30 20:31:04,20.52,58.9,7.82,0.011,Punto 2
2025-06-30 20:31:06,27.89,47.0,17.23,0.031,Punto 2
2025-06-30 20:31:08,28.28,56.7,47.07,0.055,Punto 2
2025-06-30 20:31:10,29.15,46.4,8.43,0.033,Punto 2
2025-06-30 20:31:12,20.96,42.3,50.20,0.062,Punto 2
2025-06-30 20:31:14,22.14,42.7,31.02,0.062,Punto 2
2025-06-30 20:31:16,23.41,55.2,12.38,0.056,Punto 2
2025-06-30 20:31:18,25.70,49.0,22.83,0.086,Punto 2
2025-06-30 20:31:20,29.95,49.0,15.74,0.032,Punto 2
2025-06-30 20:31:22,26.34,41.6,35.98,0.042,Punto 2
2025-06-30 20:31:24,22.88,58.3,52.39,0.026,Punto 2
2025-06-30 20:31:26,26.71,58.8,40.90,0.087,Punto 2
2025-06-30 20:31:28,21.79,58.9,35.78,0.015,Punto 2
2025-06-30 20:31:30,28.55,59.7,19.51,0.092,Punto 2
2025-06-30 20:31:32,27.10,56.7,52.91,0.015,Punto 2
2025-06-30 20:31:34,28.29,49.2,20.49,0.096,Punto 2
2025-06-30 20:31:36,26.95,45.3,9.18,0.041,Punto 2
2025-06-30 20:31:38,28.02,48.8,44.40,0.094,Punto 2
2025-06-30 20:31:40,24.52,50.5,34.47,0.100,Punto 2
2025-06-30 20:31:42,28.46,53.9,53.72,0.105,Punto 2
2025-06-30 20:31:44,21.94,48.4,48.51,0.078,Punto 2
2025-06-30 20:31:46,22.60,44.7,26.79,0.073,Punto 2
2025-06-30 20:31:48,22.53,50.3,33.44,0.074,Punto 2
2025-06-30 20:31:50,23.59,46.7,43.73,0.014,Punto 2
